	top10	top9	top8	top7	top6	top5	top4	top3	top2	top1
L1	gene_2022 (718089.55)	gene_302 (28895.15)	gene_1841 (24910.25)	gene_507 (7201.09)	gene_1640 (4614.95)	gene_1565 (4019.19)	gene_635 (3448.28)	gene_693 (2512)	gene_1166 (2415.93)	gene_2005 (2391.83)
L2	gene_2022 (757109.48)	gene_302 (20712.51)	gene_1841 (16763.38)	gene_507 (5534.33)	gene_1565 (3980.02)	gene_1640 (3472.44)	gene_635 (3108.75)	gene_693 (2150.71)	gene_2005 (2144.44)	gene_1166 (2098.67)
L3	gene_2022 (659300.84)	gene_302 (47640.23)	gene_1841 (38348.53)	gene_507 (7634.75)	gene_1640 (6886.89)	gene_635 (4136.32)	gene_1565 (3483.24)	gene_1479 (3189.89)	gene_383 (2864.77)	gene_1748 (2853.24)
M1	gene_2022 (441510.04)	gene_302 (59359.33)	gene_1841 (31133.34)	gene_507 (15887.14)	gene_348 (11518.97)	gene_1640 (9464.31)	gene_635 (9286.67)	gene_1565 (8405.59)	gene_1356 (7044.36)	gene_887 (6786.51)
M2	gene_302 (81224.77)	gene_2022 (79747.47)	gene_1841 (59924.55)	gene_507 (33658.47)	gene_1356 (22363.25)	gene_1640 (21284.59)	gene_635 (20840.09)	gene_817 (17570.62)	gene_739 (14142.21)	gene_887 (13247.42)
M3	gene_2022 (486636.08)	gene_302 (65077.82)	gene_1841 (31502.87)	gene_507 (14253.77)	gene_1640 (9731.15)	gene_1565 (7957.89)	gene_635 (7766.95)	gene_348 (6889.59)	gene_817 (6268.49)	gene_1496 (5915.05)
Q1	gene_2022 (338024.16)	gene_302 (54505.36)	gene_348 (22950.44)	gene_1748 (18718.2)	gene_1841 (13751.4)	gene_1356 (11001.2)	gene_635 (9759.02)	gene_162 (9705.53)	gene_817 (8863.71)	gene_1640 (8693.8)
Q2	gene_2022 (335483.75)	gene_302 (65269.71)	gene_348 (29283.39)	gene_1748 (18134.5)	gene_1841 (15943.94)	gene_162 (10854.45)	gene_1356 (9212)	gene_817 (8585.97)	gene_635 (8542.24)	gene_1640 (8488.44)
Q3	gene_2022 (641067.98)	gene_302 (59968.37)	gene_1841 (13918.05)	gene_507 (12193.15)	gene_463 (10170.5)	gene_1565 (9877.31)	gene_1640 (7791.08)	gene_905 (7757.99)	gene_1496 (7348.8)	gene_635 (7182.08)
T1	gene_2022 (555944.64)	gene_302 (29520.08)	gene_1841 (27905.35)	gene_635 (14188.34)	gene_1565 (9545.7)	gene_1640 (7167.11)	gene_1423 (6641.34)	gene_507 (6090.97)	gene_1479 (5063.03)	gene_693 (4300.96)
T2	gene_2022 (547656.37)	gene_1841 (28831.17)	gene_302 (23838.93)	gene_635 (14667.53)	gene_1565 (10124.43)	gene_1423 (7034.85)	gene_1640 (6853.59)	gene_507 (6712.04)	gene_1166 (4585.9)	gene_693 (4503.55)
T3	gene_2022 (547583.82)	gene_1841 (25896.36)	gene_302 (20299.15)	gene_635 (15553.48)	gene_1565 (10575.98)	gene_1423 (7453.06)	gene_1640 (6433.65)	gene_507 (5923.2)	gene_693 (5531)	gene_783 (4956.69)
X1	gene_2022 (818881.25)	gene_302 (29964.4)	gene_1841 (26635.04)	gene_1565 (3455.38)	gene_507 (2959.42)	gene_1479 (2831.62)	gene_1640 (2524.58)	gene_635 (1890.64)	gene_383 (1722.01)	gene_2005 (1653.23)
X2	gene_2022 (811517.02)	gene_1841 (31658.65)	gene_302 (27859.1)	gene_1565 (3856.53)	gene_507 (3365.67)	gene_1640 (2747.46)	gene_1479 (2700.31)	gene_2005 (1951.94)	gene_635 (1933.73)	gene_383 (1892.09)
X3	gene_2022 (816246.89)	gene_302 (36019.12)	gene_1841 (32989.04)	gene_1479 (3750.41)	gene_1640 (2706.75)	gene_507 (2105.49)	gene_1496 (2006.04)	gene_1565 (1974.2)	gene_383 (1833.82)	gene_2005 (1612.87)
